sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-18S	19705	14302	72.58	14238	13793	70	13793	70
43EIB-18S	36881	31586	85.64	31466	29945	81.19	29945	81.19
43EIC-18S	75443	63619	84.33	63494	60315	79.95	60315	79.95
43EID-18S	238942	174839	73.17	174534	165074	69.09	164282	68.75
43EIE-18S	156940	120590	76.84	120415	114636	73.04	114406	72.9
43EOA-18S	52452	44840	85.49	44831	42553	81.13	42553	81.13
43EOB-18S	144796	124799	86.19	124767	118064	81.54	118064	81.54
43EOC-18S	121303	98644	81.32	98621	93482	77.06	92307	76.1
43EOD-18S	48841	40246	82.4	40221	38136	78.08	38136	78.08
43EOE-18S	93276	76793	82.33	76766	72780	78.03	72780	78.03
94EIA-18S	203263	169608	83.44	169421	160605	79.01	157761	77.61
94EIB-18S	80598	68393	84.86	68333	65101	80.77	65101	80.77
94EIC-18S	39360	33682	85.57	33618	31906	81.06	31906	81.06
94EOA-18S	2532	2087	82.42	2050	1980	78.2	1980	78.2
94EOB-18S	2025	1567	77.38	1554	1517	74.91	1517	74.91
94EOC-18S	24	8	33.33	7	7	29.17	7	29.17
94SIA-18S	10433	8898	85.29	8859	8376	80.28	8376	80.28
94SIB-18S	127983	107488	83.99	107407	101959	79.67	101898	79.62
94SIC-18S	9626	8436	87.64	8403	7940	82.48	7940	82.48
94SOA-18S	517	418	80.85	370	263	50.87	263	50.87
94SOB-18S	8	2	25	2	2	25	2	25
94SOC-18S	472	408	86.44	400	391	82.84	391	82.84
EB1-18S	30	18	60	2	0	0	0	0
EB2-18S	147	57	38.78	46	46	31.29	46	31.29
